[Fri Dec 05 13:36:07.203199 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:07.417012 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:07.651196 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:07.887865 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:08.122930 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:08.338885 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:08.566600 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:08.795523 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:09.007037 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:09.237828 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:09.458502 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:09.697364 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:09.908914 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:10.138222 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
[Fri Dec 05 13:36:10.356276 2014] [:error] [pid 2759] [client 35.2.85.144:51716] PHP Notice:  Use of undefined constant category - assumed 'category' in /var/www/html/group16/pa6_z7o0l26s9k9/php/html/index.php on line 972, referer: http://eecs485-02.eecs.umich.edu:5616/search
